,,Openflux NH3,,Eddypro NH3,,Openflux CO2,Eddypro,Eddypro CO2,,Openflux H2O,un_h2o_flux,Eddypro H20
2024/6/20,6:00,-3.56E-5,-9.46E-4,-1.6082E-5,--,0.138017403,3.05272,0.13431968,--,-0.002003916,-0.108501,-0.001953018
2024/6/20,6:30,1.19E-5,4.73E-4,8.041E-6,--,0.057245577,0.965753,0.042493132,--,-0.001657435,-0.0904,-0.0016272
2024/6/20,7:00,-4.86E-5,-0.0021,-3.57E-5,--,0.07285954,2.56972,0.11306768,--,-0.00460276,-0.25833,-0.00464994
2024/6/20,7:30,3.39E-5,-2.71E-4,-4.607E-6,--,-0.146690899,-3.06885,-0.1350294,--,-0.004421674,-0.251761,-0.004531698
2024/6/20,8:00,3.79E-5,--,--,--,-0.150919812,-2.97056,-0.13070464,--,-0.002914734,-0.159193,-0.002865474
2024/6/20,8:30,0,--,--,--,-0.231590881,-5.22255,-0.2297922,--,-0.001038599,0.0276,4.968E-4
2024/6/20,9:00,-6.14968E-4,--,--,--,-0.268809448,-5.84106,-0.25700664,--,0.003958246,0.295458,0.005318244
2024/6/20,9:30,7.46E-5,0.00106,1.802E-5,--,-0.097692943,-9.87611,-0.43454884,--,0.002570863,0.092,0.001656
2024/6/20,10:00,-5.75E-5,-0.00228,-3.876E-5,--,-0.351239907,-7.98016,-0.35112704,--,-0.001264647,-0.128389,-0.002311002
2024/6/20,10:30,1.50318E-4,0.0103,1.751E-4,--,-0.319934614,-7.21986,-0.31767384,--,0.021660668,1.2252,0.0220536
2024/6/20,11:00,-2.45068E-4,-0.0134,-2.278E-4,--,--,-10.1171,-0.4451524,--,0.005373595,0.0853,0.0015354
2024/6/20,11:30,-7.03E-5,-0.00409,-6.953E-5,--,--,--,--,--,0.0067188,-0.16824,-0.00302832
2024/6/20,12:00,-3.42192E-4,-0.0121,-2.057E-4,--,--,--,--,--,--,--,--
2024/6/20,12:30,-4.79E-5,-0.00442,-7.514E-5,--,-0.337883673,-7.73939,-0.34053316,--,0.008541252,0.577031,0.010386558
2024/6/20,13:00,-1.05168E-4,-0.00409,-6.953E-5,--,-0.36828888,-8.33121,-0.36657324,--,0.005339641,0.133816,0.002408688
2024/6/20,13:30,-7.18E-5,-0.00421,-7.157E-5,--,-0.36680768,-8.28718,-0.36463592,--,-0.013867395,-0.77039,-0.01386702
2024/6/20,14:00,-1.33919E-4,-0.00516,-8.772E-5,--,-0.419339847,-8.91747,-0.39236868,--,-0.003957194,-0.215797,-0.003884346
2024/6/20,14:30,-3.89E-5,-0.00541,-9.197E-5,--,-0.272333493,-6.13025,-0.269731,--,0.001849517,0.186936,0.003364848
2024/6/20,15:00,-1.07257E-4,-0.0062,-1.054E-4,--,-0.244916642,-5.51354,-0.24259576,--,0.004605217,0.161145,0.00290061
2024/6/20,15:30,-7.08E-5,-0.00597,-1.0149E-4,--,-0.178973824,-4.05857,-0.17857708,--,-0.002196613,-0.123288,-0.002219184
2024/6/20,16:00,-1.76E-5,-0.00302,-5.134E-5,--,-0.059007621,-1.34491,-0.05917604,--,0.002103021,0.132127,0.002378286
2024/6/20,16:30,-5.22E-5,-0.00416,-7.072E-5,--,-0.036238865,-0.819759,-0.036069396,--,0.002533937,0.0974,0.0017532
2024/6/20,17:00,-8.6E-5,-0.00506,-8.602E-5,--,-0.046973594,-1.06621,-0.04691324,--,-0.006213752,-0.343907,-0.006190326
2024/6/20,17:30,-1.34764E-4,-0.00647,-1.0999E-4,--,0.090421415,2.04772,0.09009968,--,-0.003815071,-0.213792,-0.003848256
2024/6/20,18:00,-5.5E-5,-0.00306,-5.202E-5,--,0.078005958,1.77974,0.07830856,--,-4.68253E-4,-0.0281,-5.058E-4
2024/6/20,18:30,-7.31E-5,-0.00347,-5.899E-5,--,0.090939027,2.05897,0.09059468,--,7.18114E-4,0.041,7.38E-4
2024/6/20,19:00,-3.25E-5,-0.0019,-3.23E-5,--,0.09160037,2.08717,0.09183548,--,-1.66383E-4,-0.00902,-1.6236E-4
2024/6/20,19:30,-8.26E-5,-0.00466,-7.922E-5,--,0.143186642,3.22577,0.14193388,--,0.001770492,0.0765,0.001377
2024/6/20,20:00,-1.05855E-4,-0.00671,-1.1407E-4,--,0.12634589,2.81481,0.12385164,--,-0.001079737,-0.0754,-0.0013572
2024/6/20,20:30,-1.59144E-4,-0.00697,-1.1849E-4,--,0.10689743,2.41711,0.10635284,--,0.002581144,0.135512,0.002439216
2024/6/20,21:00,-8.58E-5,-0.00451,-7.667E-5,--,0.10852093,2.47356,0.10883664,--,0.004028398,0.223621,0.004025178
2024/6/20,21:30,-6.37E-5,-0.00369,-6.273E-5,--,0.091880901,2.09033,0.09197452,--,9.77892E-4,0.0543,9.774E-4
2024/6/20,22:00,-6.98E-5,-0.00355,-6.035E-5,--,0.12489558,2.82957,0.12450108,--,0.001825209,0.0976,0.0017568
2024/6/20,22:30,-7.19E-5,-0.00432,-7.344E-5,--,0.118649198,2.76269,0.12155836,--,0.001010392,0.0613,0.0011034
2024/6/20,23:00,-4.12E-5,-0.0028,-4.76E-5,--,0.068938108,1.57893,0.06947292,--,1.28269E-4,0.00839,1.5102E-4
2024/6/20,23:30,-6.34E-5,-0.00371,-6.307E-5,--,0.091609169,2.09909,0.09235996,--,-7.50748E-4,-0.0345,-6.21E-4
2024/6/21,2024/6/21 0:00,-8.92E-5,-0.00518,-8.806E-5,--,0.1119418,2.54054,0.11178376,--,0.002929505,0.136512,0.002457216
2024/6/21,0:30,2.29E-5,-9.35E-4,-1.5895E-5,--,0.085888208,1.95826,0.08616344,--,-0.00119195,-0.0661,-0.0011898
2024/6/21,1:00,-8.87E-5,-0.00392,-6.664E-5,--,0.066892694,1.51085,0.0664774,--,2.22832E-4,0.0051,9.18E-5
2024/6/21,1:30,-7.48E-5,-0.00495,-8.415E-5,--,0.072140025,1.61532,0.07107408,--,-3.04686E-4,-0.0278,-5.004E-4
2024/6/21,2:00,-3.48E-5,-0.002,-3.4E-5,--,0.061180543,1.35196,0.05948624,--,1.73483E-4,0.00903,1.6254E-4
2024/6/21,2:30,-9.62E-6,-4.26E-4,-7.242E-6,--,0.006564323,0.123306,0.005425464,--,-3.18299E-4,-0.0192,-3.456E-4
2024/6/21,3:00,7.29E-6,3.36E-4,5.712E-6,--,0.014310731,0.325829,0.014336476,--,2.71493E-4,0.0168,3.024E-4
2024/6/21,3:30,2.23E-5,9.09E-4,1.5453E-5,--,-0.041458769,-1.44957,-0.06378108,--,8.55165E-4,0.0486,8.748E-4
2024/6/21,4:00,1.55E-5,7.42E-4,1.2614E-5,--,0.113524582,2.62368,0.11544192,--,0.001598284,0.0861,0.0015498
2024/6/21,4:30,-4.99E-5,-0.00285,-4.845E-5,--,0.604167415,13.9578,0.6141432,--,-0.004102427,-0.227456,-0.004094208
2024/6/21,5:00,1.02664E-4,0.00473,8.041E-5,--,0.057392278,1.25228,0.05510032,--,-0.00120963,-0.0726,-0.0013068
2024/6/21,5:30,6.57E-6,1.65E-5,2.805E-7,--,0.057514431,1.33029,0.05853276,--,0.001819797,0.101172,0.001821096
2024/6/21,6:00,-1.1E-5,-2.49E-4,-4.233E-6,--,-0.21141607,-4.38678,-0.19301832,--,0.001390702,0.0773,0.0013914
2024/6/21,6:30,-6.28E-5,-0.00311,-5.287E-5,--,0.051934578,1.09479,0.04817076,--,0.001660391,0.0945,0.001701
2024/6/21,7:00,-2.12E-5,-0.00123,-2.091E-5,--,0.067159702,1.52328,0.06702432,--,0.002753003,0.152106,0.002737908
2024/6/21,7:30,-6.05E-5,-0.00377,-6.409E-5,--,0.01809321,0.849386,0.037372984,--,8.65096E-4,0.0687,0.0012366
2024/6/21,8:00,-8.68E-5,-0.00377,-6.409E-5,--,0.024765779,0.678329,0.029846476,--,-0.001773838,-0.098,-0.001764
2024/6/21,8:30,-3.57E-5,-0.00362,-6.154E-5,--,-0.039086388,-0.866278,-0.038116232,--,-3.6734E-4,0.0343,6.174E-4
2024/6/21,9:00,-4.2E-5,-0.00306,-5.202E-5,--,-0.030944286,-0.705214,-0.031029416,--,-9.20117E-4,-0.0513,-9.234E-4
2024/6/21,9:30,-3.1E-5,-0.00184,-3.128E-5,--,-0.035877141,-0.800571,-0.035225124,--,7.11061E-4,0.0174,3.132E-4
2024/6/21,10:00,-1.29E-5,-0.00224,-3.808E-5,--,-0.069539151,-1.5826,-0.0696344,--,-8.97383E-4,-0.0526,-9.468E-4
2024/6/21,10:30,-4.16E-5,-0.00192,-3.264E-5,--,-0.035388986,-0.815953,-0.035901932,--,-0.002226309,-0.132151,-0.002378718
2024/6/21,11:00,-5.17E-5,-0.00326,-5.542E-5,--,-0.041504126,-0.940066,-0.041362904,--,6.92665E-4,0.0602,0.0010836
2024/6/21,11:30,-8.75E-5,-0.00511,-8.687E-5,--,-0.096561267,-2.18523,-0.09615012,--,-0.003626859,-0.198544,-0.003573792
2024/6/21,12:00,2.93E-5,-3.37E-4,-5.729E-6,--,-0.044605383,-1.01057,-0.04446508,--,0.007156925,0.401593,0.007228674
2024/6/21,12:30,-1.7557E-4,-0.0101,-1.717E-4,--,-0.014238339,-0.333299,-0.014665156,--,0.015026219,0.828266,0.014908788
2024/6/21,13:00,1.90465E-4,0.0109,1.853E-4,--,-0.567643418,-12.6191,-0.5552404,--,0.046645816,2.60853,0.04695354
2024/6/21,13:30,2.91E-7,1.66E-5,2.822E-7,--,0.069350643,1.70275,0.074921,--,0.011213769,0.677304,0.012191472
2024/6/21,14:00,-3.33E-7,-1.99E-5,-3.383E-7,--,-0.131346893,-2.96745,-0.1305678,--,0.02830208,1.56554,0.02817972
2024/6/21,14:30,-3.11E-6,-1.85E-4,-3.145E-6,--,-0.33278888,-8.91795,-0.3923898,--,-0.022362982,-1.64889,-0.02968002
2024/6/21,15:00,-6.71663E-4,-0.0359,-6.103E-4,--,-1.232903368,-27.9463,-1.2296372,--,-0.022256281,-1.56322,-0.02813796
2024/6/21,15:30,9.07E-5,0.00458,7.786E-5,--,-0.498205418,-12.1022,-0.5324968,--,0.013492368,0.77823,0.01400814
2024/6/21,16:00,4.16126E-4,0.0243,4.131E-4,--,-0.055021995,-1.294,-0.056936,--,0.022180423,1.21967,0.02195406
2024/6/21,16:30,8.28E-5,0.00458,7.786E-5,--,-0.039901705,-1.44457,-0.06356108,--,0.01984657,1.00758,0.01813644
2024/6/21,17:00,6.94E-5,0.00374,6.358E-5,--,0.071087929,1.63835,0.0720874,--,0.014449777,0.790493,0.014228874
2024/6/21,17:30,2.69E-6,1.5E-4,2.55E-6,--,-0.070828282,-0.340258,-0.014971352,--,-0.007667369,-0.158087,-0.002845566
2024/6/21,18:00,-3.16E-5,-0.00191,-3.247E-5,--,-0.700274285,-17.6434,-0.7763096,--,-0.034314573,-2.25706,-0.04062708
2024/6/21,18:30,2.14602E-4,0.0136,2.312E-4,--,-0.047633247,0.505065,0.02222286,--,0.029187536,1.60303,0.02885454
2024/6/21,19:00,4.94E-5,0.00334,5.678E-5,--,0.045335553,1.0477,0.0460988,--,0.013626676,0.751451,0.013526118
2024/6/21,19:30,-3.37591E-4,-0.0193,-3.281E-4,--,0.910291847,20.4356,0.8991664,--,-0.037716463,-2.12563,-0.03826134
2024/6/21,20:00,4.55E-5,0.00254,4.318E-5,--,0.233981122,5.27688,0.23218272,--,-0.007859635,-0.468892,-0.008440056
2024/6/21,20:30,-2.32E-5,-9.32E-4,-1.5844E-5,--,0.193555259,4.36288,0.19196672,--,-5.52939E-4,0.0193,3.474E-4
2024/6/21,21:00,7.71E-6,8.89E-4,1.5113E-5,--,0.133958585,3.04752,0.13409088,--,7.30581E-4,-0.0579,-0.0010422
2024/6/21,21:30,-1.12E-5,-6.55E-4,-1.1135E-5,--,0.095652478,2.15005,0.0946022,--,7.20605E-4,0.0398,7.164E-4
2024/6/21,22:00,7.6E-5,0.00549,9.333E-5,--,0.277059111,6.26629,0.27571676,--,0.001908114,0.105574,0.001900332
2024/6/21,22:30,3.77E-5,0.00115,1.955E-5,--,0.326580753,7.43286,0.32704584,--,0.005168194,0.286286,0.005153148
2024/6/21,23:00,-4.78E-5,-0.00217,-3.689E-5,--,0.198345835,4.47682,0.19698008,--,0.002981129,0.166227,0.002992086
2024/6/21,23:30,2.57E-5,0.00141,2.397E-5,--,0.106097302,2.29805,0.1011142,--,0.001934858,0.107423,0.001933614
2024/6/22,2024/6/22 0:00,3.01E-5,0.00177,3.009E-5,--,0.151327224,3.45986,0.15223384,--,0.001785854,0.0993,0.0017874
2024/6/22,0:30,-9.39E-6,-1.59E-4,-2.703E-6,--,0.103849212,2.31092,0.10168048,--,8.0277E-4,0.0441,7.938E-4
2024/6/22,1:00,-2.69E-6,-1.6E-4,-2.72E-6,--,0.070174218,1.59676,0.07025744,--,1.2347E-4,-0.0162,-2.916E-4
2024/6/22,1:30,1.68E-5,6.08E-4,1.0336E-5,--,0.110135559,2.55527,0.11243188,--,4.37446E-4,0.0244,4.392E-4
2024/6/22,2:00,1.01224E-4,0.00443,7.531E-5,--,-0.193189471,-3.57588,-0.15733872,--,0.028442562,1.57248,0.02830464
2024/6/22,2:30,-9.47E-6,-4.02E-4,-6.834E-6,--,0.296665805,6.39538,0.28139672,--,0.008506643,0.465434,0.008377812
2024/6/22,3:00,-8.39E-5,-0.00494,-8.398E-5,--,-0.168315476,-3.81493,-0.16785692,--,0.064111058,3.56599,0.06418782
2024/6/22,3:30,-4.30139E-4,-0.0261,-4.437E-4,--,-0.267491025,-6.76845,-0.2978118,--,-0.018979709,-1.05259,-0.01894662
2024/6/22,4:00,7.52E-5,0.00339,5.763E-5,--,-0.064983431,-1.03337,-0.04546828,--,-0.010320339,-0.568086,-0.010225548
2024/6/22,4:30,-1.97E-6,5.4E-4,9.18E-6,--,-0.291255522,-7.62968,-0.33570592,--,-0.004742968,-0.287194,-0.005169492
2024/6/22,5:00,-5.68E-5,-0.00416,-7.072E-5,--,1.366526616,30.521,1.342924,--,-0.01586427,-0.881695,-0.01587051
2024/6/22,5:30,2.14E-5,0.00176,2.992E-5,--,2.080633122,47.2504,2.0790176,--,-0.011033777,-0.556526,-0.010017468
2024/6/22,6:00,-8.19E-5,-0.0044,-7.48E-5,--,0.13427626,2.93673,0.12921612,--,0.014604991,0.812908,0.014632344
2024/6/22,6:30,1.0217E-4,0.00574,9.758E-5,--,0.067675495,1.62087,0.07131828,--,0.01277144,0.70769,0.01273842
2024/6/22,7:00,3.83242E-4,0.021,3.57E-4,--,0.4088903,9.02242,0.39698648,--,0.032297478,1.78345,0.0321021
2024/6/22,7:30,1.62036E-4,0.00955,1.6235E-4,--,0.263844701,6.02003,0.26488132,--,0.05345197,2.95964,0.05327352
2024/6/22,8:00,3.49204E-4,0.0197,3.349E-4,--,-0.113592745,-2.57726,-0.11339944,--,0.05939841,3.27879,0.05901822
2024/6/22,8:30,5.12044E-4,0.0301,5.117E-4,--,--,--,--,--,--,--,--
2024/6/22,9:00,4.07446E-4,0.0254,4.318E-4,--,-0.069773507,-1.58923,-0.06992612,--,0.0525791,2.90806,0.05234508
2024/6/22,9:30,2.9455E-4,0.0173,2.941E-4,--,-0.048386649,-1.08648,-0.04780512,--,0.03748789,2.07677,0.03738186
2024/6/22,10:00,4.83708E-4,0.0262,4.454E-4,--,-0.079179248,-1.80292,-0.07932848,--,0.039945433,2.20502,0.03969036
2024/6/22,10:30,5.75471E-4,0.0335,5.695E-4,--,-0.086894701,-1.97431,-0.08686964,--,0.026617499,1.47541,0.02655738
2024/6/22,11:00,5.4033E-4,0.0317,5.389E-4,--,-0.156857448,-3.60213,-0.15849372,--,0.02756144,1.52176,0.02739168
2024/6/22,11:30,1.63194E-4,0.00957,1.6269E-4,--,-0.131477385,-2.97068,-0.13070992,--,0.015008046,0.8261,0.0148698
2024/6/22,12:00,1.09284E-4,0.00642,1.0914E-4,--,-0.130892435,-2.96633,-0.13051852,--,0.02624708,1.45075,0.0261135
2024/6/22,12:30,1.68131E-4,0.00991,1.6847E-4,--,-0.215738247,-4.89511,-0.21538484,--,0.018887743,1.04726,0.01885068
2024/6/22,13:00,2.77685E-4,0.0163,2.771E-4,--,-0.276493157,-6.25545,-0.2752398,--,0.018645033,1.02704,0.01848672
2024/6/22,13:30,2.0995E-4,0.00884,1.5028E-4,--,-0.233888946,-5.29229,-0.23286076,--,0.002276346,0.120564,0.002170152
2024/6/22,14:00,4.6E-5,0.00261,4.437E-5,--,-0.230048038,-5.22235,-0.2297834,--,0.003564212,0.197845,0.00356121
2024/6/22,14:30,-2.91E-5,-0.00164,-2.788E-5,--,-0.052080618,-1.20986,-0.05323384,--,0.004710148,0.269487,0.004850766
2024/6/22,15:00,2.53257E-4,-4.48E-4,-7.616E-6,--,-0.032185327,-0.32877,-0.01446588,--,0.002650241,0.161309,0.002903562
2024/6/22,15:30,-5.9E-5,-0.00337,-5.729E-5,--,-0.080084046,-1.81289,-0.07976716,--,0.001725246,0.0969,0.0017442
2024/6/22,16:00,1.15E-5,5.43E-4,9.231E-6,--,-0.027474118,-0.634878,-0.027934632,--,0.002954181,0.164216,0.002955888
2024/6/22,16:30,3.34E-5,0.00197,3.349E-5,--,-0.141480435,-3.07442,-0.13527448,--,4.47259E-4,0.0201,3.618E-4
2024/6/22,17:00,-4.23E-5,-0.00241,-4.097E-5,--,--,39.539,1.739716,--,-0.048524133,-2.71945,-0.0489501
2024/6/22,17:30,-4.93E-5,-0.00289,-4.913E-5,--,--,0.412446,0.018147624,--,0.009609692,0.0784,0.0014112
2024/6/22,18:00,-3.08E-5,-0.0018,-3.06E-5,--,0.076049241,1.72824,0.07604256,--,-4.36846E-4,0.00491,8.838E-5
2024/6/22,18:30,-2.34E-5,-0.00137,-2.329E-5,--,0.061792417,1.39648,0.06144512,--,4.06007E-4,0.0205,3.69E-4
2024/6/22,19:00,-9.12E-5,-0.00524,-8.908E-5,--,0.19217489,4.2047,0.1850068,--,-0.001660867,-0.133951,-0.002411118
2024/6/22,19:30,-2.04E-5,-0.00118,-2.006E-5,--,0.088170804,1.98185,0.0872014,--,5.05187E-4,0.026,4.68E-4
2024/6/22,20:00,-2.83E-5,-0.00167,-2.839E-5,--,0.076871322,1.74946,0.07697624,--,5.8793E-4,0.0324,5.832E-4
2024/6/22,20:30,-1.55E-5,-9.03E-4,-1.5351E-5,--,0.08444453,1.90241,0.08370604,--,3.43887E-4,0.0185,3.33E-4
2024/6/22,21:00,1.98E-5,9.85E-4,1.6745E-5,--,0.223911092,5.60252,0.24651088,--,0.001533381,0.088,0.001584
2024/6/22,21:30,-5.2E-6,-2.48E-4,-4.216E-6,--,0.262711947,5.62793,0.24762892,--,3.16243E-4,0.00768,1.3824E-4
2024/6/22,22:00,7.57E-6,1.51E-4,2.567E-6,--,-0.072973478,-0.881569,-0.038789036,--,7.46532E-4,0.0384,6.912E-4
2024/6/22,22:30,-1.02E-5,-5.02E-4,-8.534E-6,--,-0.120515743,-2.09286,-0.09208584,--,0.001006039,0.058,0.001044
2024/6/22,23:00,2.09E-5,0.00107,1.819E-5,--,0.27098092,3.84316,0.16909904,--,-9.11533E-4,-0.0411,-7.398E-4
2024/6/22,23:30,-3.97E-5,-0.00235,-3.995E-5,--,0.25006858,8.41207,0.37013108,--,-0.002126999,-0.13589,-0.00244602
2024/6/23,2024/6/23 0:00,-1.64E-5,-9.56E-4,-1.6252E-5,--,-0.090459584,-3.55728,-0.15652032,--,-6.73082E-4,-0.0594,-0.0010692
2024/6/23,0:30,-8.65E-5,-0.00508,-8.636E-5,--,-1.303136975,-30.7262,-1.3519528,--,-0.003110123,-0.225706,-0.004062708
2024/6/23,1:00,6.71E-5,0.00371,6.307E-5,--,-0.026404541,0.0521,0.0022924,--,0.002523081,0.138093,0.002485674
2024/6/23,1:30,-5.72E-5,-0.003,-5.1E-5,--,0.250709859,4.77433,0.21007052,--,7.61773E-4,0.0295,5.31E-4
2024/6/23,2:00,7.72E-6,4.48E-4,7.616E-6,--,-0.133398209,-3.2109,-0.1412796,--,-7.60135E-4,-0.046,-8.28E-4
2024/6/23,2:30,5.96E-5,0.00306,5.202E-5,--,-0.378107467,-7.39194,-0.32524536,--,1.77458E-4,0.00695,1.251E-4
2024/6/23,3:00,1.98E-5,9.49E-4,1.6133E-5,--,0.033534485,0.726346,0.031959224,--,8.33222E-4,0.0463,8.334E-4
2024/6/23,3:30,-4.76E-5,-0.00275,-4.675E-5,--,-0.016759083,-0.217582,-0.009573608,--,-0.001383586,-0.0788,-0.0014184
2024/6/23,4:00,1.15027E-4,0.0068,1.156E-4,--,-0.158465087,-5.37709,-0.23659196,--,0.00172392,0.0936,0.0016848
2024/6/23,4:30,1.62072E-4,0.00928,1.5776E-4,--,-0.968520317,-23.2934,-1.0249096,--,8.99865E-4,0.0511,9.198E-4
2024/6/23,5:00,-1.34E-5,-0.00258,-4.386E-5,--,0.411620436,9.28013,0.40832572,--,0.005575844,0.308313,0.005549634
2024/6/23,5:30,-1.93E-5,-4.82E-4,-8.194E-6,--,0.24536392,5.47084,0.24071696,--,8.00434E-4,0.0443,7.974E-4
2024/6/23,6:00,-3.78E-5,-0.00222,-3.774E-5,--,0.090903599,2.07124,0.09113456,--,0.003401568,0.189259,0.003406662
2024/6/23,6:30,5.65E-5,0.00257,4.369E-5,--,0.043562777,1.09774,0.04830056,--,0.010567464,0.586073,0.010549314
